n_samples,k,threads,seq_time,tp_time,speedup
100,3,1,0.000070,0.000077,0.907546
100,3,2,0.000070,0.000094,0.737935
100,3,3,0.000070,0.000071,0.985055
100,3,4,0.000070,0.000070,0.990676
100,3,5,0.000070,0.000065,1.075542
100,3,6,0.000070,0.000069,1.014265
100,3,7,0.000070,0.000069,1.012444
100,3,8,0.000070,0.000077,0.904784
100,3,9,0.000070,0.000085,0.814264
100,3,10,0.000070,0.000078,0.891304
100,3,11,0.000070,0.000080,0.869074
100,3,12,0.000070,0.000083,0.840995
100,5,1,0.000106,0.000113,0.942537
100,5,2,0.000106,0.000090,1.185019
100,5,3,0.000106,0.000073,1.448759
100,5,4,0.000106,0.000070,1.523017
100,5,5,0.000106,0.000067,1.576891
100,5,6,0.000106,0.000070,1.515393
100,5,7,0.000106,0.000080,1.333969
100,5,8,0.000106,0.000086,1.241483
100,5,9,0.000106,0.000086,1.229681
100,5,10,0.000106,0.000092,1.156064
100,5,11,0.000106,0.000094,1.127675
100,5,12,0.000106,0.000095,1.112917
100,10,1,0.000217,0.000218,0.994961
100,10,2,0.000217,0.000138,1.577098
100,10,3,0.000217,0.000113,1.922064
100,10,4,0.000217,0.000106,2.044001
100,10,5,0.000217,0.000100,2.174940
100,10,6,0.000217,0.000101,2.146140
100,10,7,0.000217,0.000120,1.814408
100,10,8,0.000217,0.000124,1.746007
100,10,9,0.000217,0.000129,1.677980
100,10,10,0.000217,0.000138,1.574432
100,10,11,0.000217,0.000134,1.613722
100,10,12,0.000217,0.000138,1.577790
100,15,1,0.000321,0.000327,0.980972
100,15,2,0.000321,0.000182,1.758687
100,15,3,0.000321,0.000146,2.198641
100,15,4,0.000321,0.000129,2.487519
100,15,5,0.000321,0.000121,2.654926
100,15,6,0.000321,0.000122,2.620245
100,15,7,0.000321,0.000146,2.195923
100,15,8,0.000321,0.000150,2.143272
100,15,9,0.000321,0.000165,1.949448
100,15,10,0.000321,0.000157,2.037911
100,15,11,0.000321,0.000157,2.038481
100,15,12,0.000321,0.000164,1.957227
100,20,1,0.000360,0.000362,0.994588
100,20,2,0.000360,0.000195,1.842184
100,20,3,0.000360,0.000153,2.350428
100,20,4,0.000360,0.000135,2.672022
100,20,5,0.000360,0.000124,2.907664
100,20,6,0.000360,0.000123,2.919182
100,20,7,0.000360,0.000156,2.309497
100,20,8,0.000360,0.000155,2.317798
100,20,9,0.000360,0.000151,2.386157
100,20,10,0.000360,0.000156,2.305643
100,20,11,0.000360,0.000157,2.288588
100,20,12,0.000360,0.000162,2.226366
100,25,1,0.000288,0.000274,1.049394
100,25,2,0.000288,0.000145,1.982507
100,25,3,0.000288,0.000117,2.448900
100,25,4,0.000288,0.000100,2.884641
100,25,5,0.000288,0.000095,3.039344
100,25,6,0.000288,0.000091,3.166223
100,25,7,0.000288,0.000115,2.493419
100,25,8,0.000288,0.000116,2.475789
100,25,9,0.000288,0.000121,2.376751
100,25,10,0.000288,0.000117,2.453647
100,25,11,0.000288,0.000118,2.442724
100,25,12,0.000288,0.000120,2.398727
100,30,1,0.000260,0.000260,1.000026
100,30,2,0.000260,0.000134,1.936433
100,30,3,0.000260,0.000113,2.300810
100,30,4,0.000260,0.000092,2.833783
100,30,5,0.000260,0.000088,2.944273
100,30,6,0.000260,0.000084,3.084463
100,30,7,0.000260,0.000106,2.463514
100,30,8,0.000260,0.000106,2.452664
100,30,9,0.000260,0.000103,2.527025
100,30,10,0.000260,0.000107,2.437631
100,30,11,0.000260,0.000107,2.429878
100,30,12,0.000260,0.000109,2.396243
100,40,1,0.000413,0.000411,1.003216
100,40,2,0.000413,0.000187,2.211243
100,40,3,0.000413,0.000150,2.742059
100,40,4,0.000413,0.000134,3.085138
100,40,5,0.000413,0.000121,3.422430
100,40,6,0.000413,0.000114,3.626339
100,40,7,0.000413,0.000144,2.856948
100,40,8,0.000413,0.000143,2.895512
100,40,9,0.000413,0.000139,2.958738
100,40,10,0.000413,0.000141,2.919860
100,40,11,0.000413,0.000140,2.943024
100,40,12,0.000413,0.000150,2.753188
100,50,1,0.000499,0.000496,1.004312
100,50,2,0.000499,0.000221,2.251542
100,50,3,0.000499,0.000173,2.883448
100,50,4,0.000499,0.000150,3.333680
100,50,5,0.000499,0.000132,3.767696
100,50,6,0.000499,0.000140,3.572580
100,50,7,0.000499,0.000165,3.012850
100,50,8,0.000499,0.000167,2.986158
100,50,9,0.000499,0.000158,3.151887
100,50,10,0.000499,0.000157,3.175150
100,50,11,0.000499,0.000155,3.213208
100,50,12,0.000499,0.000158,3.146715
1000,3,1,0.005905,0.005174,1.141372
1000,3,2,0.005905,0.002748,2.149231
1000,3,3,0.005905,0.002025,2.915953
1000,3,4,0.005905,0.001617,3.652211
1000,3,5,0.005905,0.001386,4.260651
1000,3,6,0.005905,0.001237,4.773993
1000,3,7,0.005905,0.001508,3.916375
1000,3,8,0.005905,0.001458,4.051064
1000,3,9,0.005905,0.001383,4.269788
1000,3,10,0.005905,0.001348,4.380116
1000,3,11,0.005905,0.001320,4.472156
1000,3,12,0.005905,0.001310,4.508427
1000,5,1,0.003911,0.003356,1.165220
1000,5,2,0.003911,0.001803,2.168348
1000,5,3,0.003911,0.001284,3.046345
1000,5,4,0.003911,0.001037,3.770563
1000,5,5,0.003911,0.000864,4.527270
1000,5,6,0.003911,0.000786,4.973181
1000,5,7,0.003911,0.000915,4.272315
1000,5,8,0.003911,0.000874,4.474010
1000,5,9,0.003911,0.000823,4.752581
1000,5,10,0.003911,0.000805,4.860249
1000,5,11,0.003911,0.000776,5.040616
1000,5,12,0.003911,0.000753,5.195909
1000,10,1,0.003254,0.002803,1.160954
1000,10,2,0.003254,0.001481,2.197562
1000,10,3,0.003254,0.001113,2.923149
1000,10,4,0.003254,0.000782,4.161609
1000,10,5,0.003254,0.000691,4.705884
1000,10,6,0.003254,0.000598,5.442762
1000,10,7,0.003254,0.000730,4.457360
1000,10,8,0.003254,0.000674,4.829366
1000,10,9,0.003254,0.000633,5.143336
1000,10,10,0.003254,0.000591,5.508836
1000,10,11,0.003254,0.000569,5.723205
1000,10,12,0.003254,0.000556,5.849968
1000,15,1,0.002832,0.002380,1.190053
1000,15,2,0.002832,0.001284,2.205349
1000,15,3,0.002832,0.000909,3.114583
1000,15,4,0.002832,0.000744,3.805923
1000,15,5,0.002832,0.000550,5.153707
1000,15,6,0.002832,0.000550,5.147076
1000,15,7,0.002832,0.000619,4.573313
1000,15,8,0.002832,0.000573,4.942166
1000,15,9,0.002832,0.000532,5.322040
1000,15,10,0.002832,0.000509,5.568234
1000,15,11,0.002832,0.000494,5.734728
1000,15,12,0.002832,0.000459,6.165361
1000,20,1,0.006293,0.005611,1.121443
1000,20,2,0.006293,0.002885,2.181443
1000,20,3,0.006293,0.002049,3.070542
1000,20,4,0.006293,0.001516,4.150578
1000,20,5,0.006293,0.001303,4.830502
1000,20,6,0.006293,0.001138,5.531051
1000,20,7,0.006293,0.001409,4.466972
1000,20,8,0.006293,0.001292,4.868745
1000,20,9,0.006293,0.001179,5.338279
1000,20,10,0.006293,0.001111,5.663141
1000,20,11,0.006293,0.001043,6.034815
1000,20,12,0.006293,0.001000,6.292453
1000,25,1,0.007064,0.006339,1.114376
1000,25,2,0.007064,0.003238,2.181826
1000,25,3,0.007064,0.002356,2.998920
1000,25,4,0.007064,0.001713,4.124766
1000,25,5,0.007064,0.001440,4.904327
1000,25,6,0.007064,0.001271,5.556737
1000,25,7,0.007064,0.001594,4.431301
1000,25,8,0.007064,0.001452,4.866327
1000,25,9,0.007064,0.001329,5.316800
1000,25,10,0.007064,0.001241,5.693682
1000,25,11,0.007064,0.001164,6.067081
1000,25,12,0.007064,0.001110,6.363624
1000,30,1,0.012032,0.010975,1.096343
1000,30,2,0.012032,0.005632,2.136585
1000,30,3,0.012032,0.003878,3.102284
1000,30,4,0.012032,0.002958,4.068297
1000,30,5,0.012032,0.002434,4.943228
1000,30,6,0.012032,0.002123,5.667443
1000,30,7,0.012032,0.002744,4.384363
1000,30,8,0.012032,0.002487,4.838278
1000,30,9,0.012032,0.002286,5.262325
1000,30,10,0.012032,0.002112,5.696600
1000,30,11,0.012032,0.001991,6.042685
1000,30,12,0.012032,0.001880,6.401760
1000,40,1,0.011609,0.010503,1.105223
1000,40,2,0.011609,0.005375,2.159739
1000,40,3,0.011609,0.003714,3.125277
1000,40,4,0.011609,0.002979,3.897342
1000,40,5,0.011609,0.002415,4.807217
1000,40,6,0.011609,0.001947,5.961973
1000,40,7,0.011609,0.002644,4.389794
1000,40,8,0.011609,0.002396,4.844928
1000,40,9,0.011609,0.002168,5.355445
1000,40,10,0.011609,0.002011,5.772942
1000,40,11,0.011609,0.001909,6.079734
1000,40,12,0.011609,0.001789,6.490162
1000,50,1,0.011785,0.010715,1.099844
1000,50,2,0.011785,0.005531,2.130499
1000,50,3,0.011785,0.003703,3.182629
1000,50,4,0.011785,0.002960,3.981003
1000,50,5,0.011785,0.002384,4.942813
1000,50,6,0.011785,0.002026,5.816431
1000,50,7,0.011785,0.002700,4.365189
1000,50,8,0.011785,0.002443,4.822976
1000,50,9,0.011785,0.002220,5.308356
1000,50,10,0.011785,0.002047,5.756051
1000,50,11,0.011785,0.001921,6.135335
1000,50,12,0.011785,0.001810,6.511662
10000,3,1,0.043221,0.038482,1.123140
10000,3,2,0.043221,0.019570,2.208535
10000,3,3,0.043221,0.013255,3.260581
10000,3,4,0.043221,0.010002,4.321283
10000,3,5,0.043221,0.008266,5.228444
10000,3,6,0.043221,0.006838,6.320932
10000,3,7,0.043221,0.009004,4.800048
10000,3,8,0.043221,0.008018,5.390450
10000,3,9,0.043221,0.007204,5.999798
10000,3,10,0.043221,0.006615,6.533480
10000,3,11,0.043221,0.006108,7.075684
10000,3,12,0.043221,0.005686,7.600770
10000,5,1,0.085158,0.075916,1.121744
10000,5,2,0.085158,0.038411,2.217022
10000,5,3,0.085158,0.025809,3.299509
10000,5,4,0.085158,0.019640,4.335954
10000,5,5,0.085158,0.016038,5.309637
10000,5,6,0.085158,0.013412,6.349355
10000,5,7,0.085158,0.017569,4.847149
10000,5,8,0.085158,0.015620,5.452026
10000,5,9,0.085158,0.014048,6.061751
10000,5,10,0.085158,0.012807,6.649154
10000,5,11,0.085158,0.011801,7.216304
10000,5,12,0.085158,0.010898,7.813823
10000,10,1,0.098678,0.090647,1.088594
10000,10,2,0.098678,0.045486,2.169388
10000,10,3,0.098678,0.030761,3.207921
10000,10,4,0.098678,0.023267,4.241052
10000,10,5,0.098678,0.018853,5.233969
10000,10,6,0.098678,0.015809,6.241689
10000,10,7,0.098678,0.020377,4.842519
10000,10,8,0.098678,0.017989,5.485416
10000,10,9,0.098678,0.016135,6.115862
10000,10,10,0.098678,0.014600,6.758655
10000,10,11,0.098678,0.013414,7.356515
10000,10,12,0.098678,0.012399,7.958779
10000,15,1,0.220593,0.204859,1.076806
10000,15,2,0.220593,0.102978,2.142130
10000,15,3,0.220593,0.069486,3.174648
10000,15,4,0.220593,0.052591,4.194475
10000,15,5,0.220593,0.042629,5.174699
10000,15,6,0.220593,0.035782,6.164903
10000,15,7,0.220593,0.046875,4.705961
10000,15,8,0.220593,0.041325,5.337948
10000,15,9,0.220593,0.036964,5.967809
10000,15,10,0.220593,0.033457,6.593278
10000,15,11,0.220593,0.030676,7.191168
10000,15,12,0.220593,0.028315,7.790699
10000,20,1,0.155815,0.144451,1.078673
10000,20,2,0.155815,0.072810,2.140025
10000,20,3,0.155815,0.048865,3.188696
10000,20,4,0.155815,0.036925,4.219727
10000,20,5,0.155815,0.029961,5.200551
10000,20,6,0.155815,0.025031,6.224822
10000,20,7,0.155815,0.033377,4.668356
10000,20,8,0.155815,0.029461,5.288850
10000,20,9,0.155815,0.026312,5.921835
10000,20,10,0.155815,0.023820,6.541319
10000,20,11,0.155815,0.021790,7.150780
10000,20,12,0.155815,0.020129,7.740749
10000,25,1,0.392442,0.366871,1.069701
10000,25,2,0.392442,0.183814,2.135000
10000,25,3,0.392442,0.124325,3.156588
10000,25,4,0.392442,0.094340,4.159879
10000,25,5,0.392442,0.076130,5.154886
10000,25,6,0.392442,0.063763,6.154666
10000,25,7,0.392442,0.086905,4.515752
10000,25,8,0.392442,0.076504,5.129721
10000,25,9,0.392442,0.068195,5.754712
10000,25,10,0.392442,0.061665,6.364098
10000,25,11,0.392442,0.056479,6.948413
10000,25,12,0.392442,0.052201,7.517964
10000,30,1,0.294392,0.274878,1.070989
10000,30,2,0.294392,0.137513,2.140823
10000,30,3,0.294392,0.093085,3.162616
10000,30,4,0.294392,0.070308,4.187164
10000,30,5,0.294392,0.056903,5.173580
10000,30,6,0.294392,0.047643,6.179139
10000,30,7,0.294392,0.064582,4.558384
10000,30,8,0.294392,0.056959,5.168451
10000,30,9,0.294392,0.051261,5.743013
10000,30,10,0.294392,0.046403,6.344247
10000,30,11,0.294392,0.044549,6.608216
10000,30,12,0.294392,0.039823,7.392510
10000,40,1,0.393746,0.369066,1.066871
10000,40,2,0.393746,0.184727,2.131496
10000,40,3,0.393746,0.125122,3.146897
10000,40,4,0.393746,0.096961,4.060849
10000,40,5,0.393746,0.076488,5.147789
10000,40,6,0.393746,0.064021,6.150301
10000,40,7,0.393746,0.088992,4.424481
10000,40,8,0.393746,0.078207,5.034681
10000,40,9,0.393746,0.069877,5.634858
10000,40,10,0.393746,0.063136,6.236467
10000,40,11,0.393746,0.057726,6.820917
10000,40,12,0.393746,0.052960,7.434837
10000,50,1,0.440820,0.412824,1.067815
10000,50,2,0.440820,0.206689,2.132772
