n_samples,k,threads,seq_time,tp_time,speedup
100,3,1,0.000120,0.000119,1.006554
100,3,2,0.000120,0.000089,1.346396
100,3,3,0.000120,0.000091,1.312146
100,3,4,0.000120,0.000081,1.488018
100,3,5,0.000120,0.000093,1.285308
100,3,6,0.000120,0.000089,1.351514
100,3,7,0.000120,0.000121,0.993205
100,3,8,0.000120,0.000102,1.181898
100,3,9,0.000120,0.000098,1.229720
100,3,10,0.000120,0.000105,1.139989
100,3,11,0.000120,0.000113,1.061517
100,3,12,0.000120,0.000116,1.033973
100,5,1,0.000215,0.000230,0.936173
100,5,2,0.000215,0.000162,1.330423
100,5,3,0.000215,0.000125,1.721861
100,5,4,0.000215,0.000108,1.989290
100,5,5,0.000215,0.000108,1.987693
100,5,6,0.000215,0.000122,1.758887
100,5,7,0.000215,0.000134,1.607038
100,5,8,0.000215,0.000130,1.649974
100,5,9,0.000215,0.000171,1.257740
100,5,10,0.000215,0.000138,1.557303
100,5,11,0.000215,0.000891,0.241750
100,5,12,0.000215,0.000669,0.321734
100,10,1,0.000506,0.000535,0.946795
100,10,2,0.000506,0.000267,1.892089
100,10,3,0.000506,0.000243,2.080917
100,10,4,0.000506,0.000222,2.276137
100,10,5,0.000506,0.000224,2.255676
100,10,6,0.000506,0.000218,2.320324
100,10,7,0.000506,0.000235,2.151616
100,10,8,0.000506,0.000244,2.076443
100,10,9,0.000506,0.000255,1.983340
100,10,10,0.000506,0.000255,1.984148
100,10,11,0.000506,0.000258,1.962075
100,10,12,0.000506,0.000267,1.898111
100,15,1,0.000806,0.000829,0.972557
100,15,2,0.000806,0.000436,1.848108
100,15,3,0.000806,0.000365,2.205885
100,15,4,0.000806,0.000382,2.110057
100,15,5,0.000806,0.000339,2.379150
100,15,6,0.000806,0.000303,2.657141
100,15,7,0.000806,0.000359,2.247922
100,15,8,0.000806,0.000368,2.189653
100,15,9,0.000806,0.000384,2.096764
100,15,10,0.000806,0.000379,2.127804
100,15,11,0.000806,0.000386,2.085910
100,15,12,0.000806,0.000422,1.911335
100,20,1,0.000932,0.000908,1.026036
100,20,2,0.000932,0.000526,1.771887
100,20,3,0.000932,0.000407,2.288052
100,20,4,0.000932,0.000390,2.390844
100,20,5,0.000932,0.000385,2.420424
100,20,6,0.000932,0.000338,2.754067
100,20,7,0.000932,0.000405,2.298609
100,20,8,0.000932,0.000416,2.239489
100,20,9,0.000932,0.000447,2.083414
100,20,10,0.000932,0.000443,2.103727
100,20,11,0.000932,0.000436,2.139298
100,20,12,0.000932,0.000446,2.090766
100,25,1,0.000752,0.000749,1.003701
100,25,2,0.000752,0.000393,1.914933
100,25,3,0.000752,0.000311,2.414102
100,25,4,0.000752,0.000308,2.440882
100,25,5,0.000752,0.000285,2.637890
100,25,6,0.000752,0.000283,2.656259
100,25,7,0.000752,0.000314,2.397161
100,25,8,0.000752,0.000327,2.296799
100,25,9,0.000752,0.000310,2.421687
100,25,10,0.000752,0.000320,2.352168
100,25,11,0.000752,0.000334,2.251608
100,25,12,0.000752,0.000701,1.071770
100,30,1,0.000690,0.000760,0.908334
100,30,2,0.000690,0.000335,2.059663
100,30,3,0.000690,0.000303,2.276325
100,30,4,0.000690,0.000260,2.655954
100,30,5,0.000690,0.000256,2.693185
100,30,6,0.000690,0.000295,2.337356
100,30,7,0.000690,0.000370,1.868333
100,30,8,0.000690,0.000299,2.311453
100,30,9,0.000690,0.000302,2.284528
100,30,10,0.000690,0.000336,2.052627
100,30,11,0.000690,0.000302,2.286932
100,30,12,0.000690,0.000630,1.095578
100,40,1,0.001174,0.001008,1.164312
100,40,2,0.001174,0.000534,2.198213
100,40,3,0.001174,0.000477,2.460119
100,40,4,0.001174,0.000433,2.713732
100,40,5,0.001174,0.000463,2.536423
100,40,6,0.001174,0.000485,2.420091
100,40,7,0.001174,0.000459,2.555474
100,40,8,0.001174,0.000458,2.561225
100,40,9,0.001174,0.000471,2.491544
100,40,10,0.001174,0.000446,2.633282
100,40,11,0.001174,0.000496,2.365191
100,40,12,0.001174,0.001413,0.830811
100,50,1,0.001400,0.001188,1.178373
100,50,2,0.001400,0.000663,2.111922
100,50,3,0.001400,0.000622,2.253103
100,50,4,0.001400,0.000568,2.467144
100,50,5,0.001400,0.000485,2.885842
100,50,6,0.001400,0.000437,3.201374
100,50,7,0.001400,0.000545,2.571165
100,50,8,0.001400,0.000545,2.570645
100,50,9,0.001400,0.000528,2.654434
100,50,10,0.001400,0.000511,2.738353
100,50,11,0.001400,0.000823,1.701969
100,50,12,0.001400,0.000551,2.542512
