n_samples,k,threads,seq_time,tp_time,speedup
100,3,1,0.000109,0.000117,0.932240
100,3,2,0.000109,0.000113,0.960787
100,3,3,0.000109,0.000098,1.106734
100,3,4,0.000109,0.000180,0.603158
100,3,5,0.000109,0.000093,1.165280
100,3,6,0.000109,0.000088,1.235075
100,3,7,0.000109,0.000088,1.229754
100,3,8,0.000109,0.000096,1.130652
100,3,9,0.000109,0.000094,1.152570
100,3,10,0.000109,0.000118,0.921394
100,3,11,0.000109,0.000100,1.083840
100,3,12,0.000109,0.000102,1.066082
100,5,1,0.000219,0.000228,0.959346
100,5,2,0.000219,0.000156,1.403605
100,5,3,0.000219,0.000121,1.810231
100,5,4,0.000219,0.000114,1.925648
100,5,5,0.000219,0.000108,2.023908
100,5,6,0.000219,0.000109,2.007863
100,5,7,0.000219,0.000125,1.746854
100,5,8,0.000219,0.000138,1.584426
100,5,9,0.000219,0.000132,1.658192
100,5,10,0.000219,0.000138,1.584003
100,5,11,0.000219,0.000140,1.560453
100,5,12,0.000219,0.000159,1.376799
100,10,1,0.000496,0.000520,0.955132
100,10,2,0.000496,0.000307,1.614280
100,10,3,0.000496,0.000241,2.058125
100,10,4,0.000496,0.000221,2.241665
100,10,5,0.000496,0.000232,2.143190
100,10,6,0.000496,0.000206,2.407908
100,10,7,0.000496,0.000252,1.971018
100,10,8,0.000496,0.000250,1.983250
100,10,9,0.000496,0.000249,1.991332
100,10,10,0.000496,0.000256,1.941585
100,10,11,0.000496,0.000258,1.923391
100,10,12,0.000496,0.000303,1.636734
100,15,1,0.000790,0.000815,0.969100
100,15,2,0.000790,0.000452,1.747050
100,15,3,0.000790,0.000379,2.087248
100,15,4,0.000790,0.000359,2.201322
100,15,5,0.000790,0.000314,2.519123
100,15,6,0.000790,0.000316,2.497321
100,15,7,0.000790,0.000348,2.267439
100,15,8,0.000790,0.000361,2.189588
100,15,9,0.000790,0.000376,2.099213
100,15,10,0.000790,0.000388,2.037862
100,15,11,0.000790,0.000369,2.138800
100,15,12,0.000790,0.000423,1.865810
100,20,1,0.000914,0.000898,1.017730
100,20,2,0.000914,0.000454,2.015153
100,20,3,0.000914,0.000469,1.948222
100,20,4,0.000914,0.000407,2.245529
100,20,5,0.000914,0.000363,2.516991
100,20,6,0.000914,0.000330,2.771283
100,20,7,0.000914,0.000398,2.300431
100,20,8,0.000914,0.000430,2.126505
100,20,9,0.000914,0.000422,2.165131
100,20,10,0.000914,0.000442,2.070421
100,20,11,0.000914,0.000420,2.176126
100,20,12,0.000914,0.000442,2.067046
100,25,1,0.000707,0.000737,0.959461
100,25,2,0.000707,0.000367,1.926177
100,25,3,0.000707,0.000310,2.284436
100,25,4,0.000707,0.000312,2.269765
100,25,5,0.000707,0.000283,2.496676
100,25,6,0.000707,0.000250,2.825369
100,25,7,0.000707,0.000302,2.344876
100,25,8,0.000707,0.000314,2.251206
100,25,9,0.000707,0.000310,2.282516
100,25,10,0.000707,0.000329,2.149245
100,25,11,0.000707,0.000439,1.609806
100,25,12,0.000707,0.000355,1.993383
100,30,1,0.000682,0.000703,0.969424
100,30,2,0.000682,0.000378,1.805776
100,30,3,0.000682,0.000292,2.333670
100,30,4,0.000682,0.000265,2.575921
100,30,5,0.000682,0.000257,2.656050
100,30,6,0.000682,0.000253,2.697354
100,30,7,0.000682,0.000294,2.320777
100,30,8,0.000682,0.000300,2.270850
100,30,9,0.000682,0.000300,2.270401
100,30,10,0.000682,0.000300,2.276273
100,30,11,0.000682,0.000299,2.282479
100,30,12,0.000682,0.000355,1.920256
100,40,1,0.001424,0.000939,1.516714
100,40,2,0.001424,0.000557,2.554947
100,40,3,0.001424,0.000485,2.934579
100,40,4,0.001424,0.000438,3.248168
